temperature,mode,sweetness,hardness,preview_ok,detail
-13,optimal,-1,0,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,-1,1,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,-1,2,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,0,-2,OK,"pod=20.74,npac=62.14,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,0,-1,NO_PREVIEW,"vegan_profile_constraint"
-13,optimal,0,0,NO_PREVIEW,"already_clean"
-13,optimal,0,1,OK,"pod=19.39,npac=51.75,reached=1/2,viol=0,zero=0,total=1000"
-13,optimal,0,2,OK,"pod=19.39,npac=51.74,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,1,-2,OK,"pod=23.04,npac=62.11,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,1,-1,OK,"pod=22.62,npac=60.34,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,1,0,OK,"pod=21.16,npac=59.30,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,1,1,OK,"pod=22.26,npac=52.83,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,1,2,OK,"pod=22.14,npac=50.93,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,2,-2,OK,"pod=23.04,npac=62.11,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,2,-1,OK,"pod=22.62,npac=60.34,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,2,0,OK,"pod=21.16,npac=59.30,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,2,1,OK,"pod=22.26,npac=52.83,reached=2/2,viol=0,zero=0,total=1000"
-13,optimal,2,2,OK,"pod=22.14,npac=50.93,reached=2/2,viol=0,zero=0,total=1000"
-13,eco,-2,-2,NO_PREVIEW,"missing_prices"
-13,eco,-2,-1,NO_PREVIEW,"missing_prices"
-13,eco,-2,0,NO_PREVIEW,"missing_prices"
-13,eco,-2,1,NO_PREVIEW,"missing_prices"
-13,eco,-2,2,NO_PREVIEW,"missing_prices"
-13,eco,-1,-2,NO_PREVIEW,"missing_prices"
