recipe_id,flavour_class,temperature,mode,sweetness,hardness,direction_status,delivered_pod,delivered_npac,zero_gram,total_g,runtime_ms
R05,strawberry,-11,optimal,2,-1,NEAREST,21.08,35.00,0,1000,29513
R05,strawberry,-11,optimal,2,0,ACHIEVED,24.58,40.00,0,1000,11
R05,strawberry,-11,optimal,2,1,ACHIEVED,22.88,37.57,0,1000,10
R05,strawberry,-11,optimal,2,2,ACHIEVED,23.10,37.31,0,1000,4
R06,soy vanilla,-11,optimal,-2,-2,NEAREST,28.95,49.85,0,1000,16
R06,soy vanilla,-11,optimal,-2,-1,NEAREST,27.70,47.00,0,1000,20
R06,soy vanilla,-11,optimal,-2,0,NEAREST,24.73,40.01,0,1000,40
R06,soy vanilla,-11,optimal,-2,1,NEAREST,23.62,37.53,0,1000,45
R06,soy vanilla,-11,optimal,-2,2,NEAREST,22.51,35.16,0,1000,45
R06,soy vanilla,-11,optimal,-1,-2,NEAREST,28.95,49.85,0,1000,11
R06,soy vanilla,-11,optimal,-1,-1,NEAREST,27.70,47.00,0,1000,13
R06,soy vanilla,-11,optimal,-1,0,NEAREST,24.73,40.01,0,1000,51
R06,soy vanilla,-11,optimal,-1,1,NEAREST,23.62,37.53,0,1000,42
R06,soy vanilla,-11,optimal,-1,2,NEAREST,22.51,35.16,0,1000,47
R06,soy vanilla,-11,optimal,0,-2,NEAREST,28.75,49.50,0,1000,16
R06,soy vanilla,-11,optimal,0,-1,NEAREST,27.70,47.00,0,1000,9
R06,soy vanilla,-11,optimal,0,0,NEAREST,20.26,30.63,0,1000,34
R06,soy vanilla,-11,optimal,0,1,NEAREST,23.62,37.53,0,1000,44
R06,soy vanilla,-11,optimal,0,2,NEAREST,22.51,35.16,0,1000,46
R06,soy vanilla,-11,optimal,1,-2,NEAREST,28.75,49.50,0,1000,45
R06,soy vanilla,-11,optimal,1,-1,NEAREST,27.70,47.00,0,1000,40
R06,soy vanilla,-11,optimal,1,0,NEAREST,22.54,34.62,0,1000,21
R06,soy vanilla,-11,optimal,1,1,NEAREST,22.59,37.47,0,1000,7
R06,soy vanilla,-11,optimal,1,2,ACHIEVED,22.59,35.12,0,1000,1
R06,soy vanilla,-11,optimal,2,-2,NEAREST,24.94,40.55,0,1000,76
R06,soy vanilla,-11,optimal,2,-1,NEAREST,24.94,40.55,0,1000,62
R06,soy vanilla,-11,optimal,2,0,ACHIEVED,24.93,40.20,0,1000,11
R06,soy vanilla,-11,optimal,2,1,ACHIEVED,24.50,37.94,0,1000,1
R06,soy vanilla,-11,optimal,2,2,ACHIEVED,23.82,36.30,0,1000,0
R07,raspberry / berry,-11,optimal,-2,-2,NEAREST,20.54,35.03,0,1000,42263
R07,raspberry / berry,-11,optimal,-2,-1,NEAREST,20.54,35.03,0,1000,21667
R07,raspberry / berry,-11,optimal,-2,0,ACHIEVED,15.18,40.10,0,1000,118
R07,raspberry / berry,-11,optimal,-2,1,ACHIEVED,14.51,37.51,0,1000,30
R07,raspberry / berry,-11,optimal,-2,2,ACHIEVED,14.93,35.01,0,1000,33
R07,raspberry / berry,-11,optimal,-1,-2,NEAREST,20.54,35.03,0,1000,65524
R07,raspberry / berry,-11,optimal,-1,-1,NEAREST,20.54,35.03,0,1000,92087
R07,raspberry / berry,-11,optimal,-1,0,ACHIEVED,17.43,40.07,0,1000,115
R07,raspberry / berry,-11,optimal,-1,1,ACHIEVED,17.03,38.01,0,1000,143
R07,raspberry / berry,-11,optimal,-1,2,ACHIEVED,17.39,35.26,0,1000,46
R07,raspberry / berry,-11,optimal,0,-2,NEAREST,20.54,35.03,0,1000,68524
R07,raspberry / berry,-11,optimal,0,-1,NEAREST,20.54,35.03,0,1000,46078
R07,raspberry / berry,-11,optimal,0,0,ACHIEVED,19.66,40.14,0,1000,42
R07,raspberry / berry,-11,optimal,0,1,ACHIEVED,20.11,37.53,0,1000,33
R07,raspberry / berry,-11,optimal,0,2,ACHIEVED,19.41,35.04,0,1000,13
R07,raspberry / berry,-11,optimal,1,-2,NEAREST,20.54,35.03,0,1000,53781
R07,raspberry / berry,-11,optimal,1,-1,NEAREST,20.54,35.03,0,1000,17840
R07,raspberry / berry,-11,optimal,1,0,ACHIEVED,22.21,40.53,0,1000,51
R07,raspberry / berry,-11,optimal,1,1,ACHIEVED,22.44,37.74,0,1000,4
R07,raspberry / berry,-11,optimal,1,2,ACHIEVED,20.54,35.03,0,1000,4
R07,raspberry / berry,-11,optimal,2,-2,NEAREST,20.54,35.03,0,1000,32593
R07,raspberry / berry,-11,optimal,2,-1,NEAREST,20.54,35.03,0,1000,25894
R07,raspberry / berry,-11,optimal,2,0,ACHIEVED,22.91,40.04,0,1000,7
R07,raspberry / berry,-11,optimal,2,1,ACHIEVED,22.62,37.58,0,1000,6
R07,raspberry / berry,-11,optimal,2,2,ACHIEVED,22.61,37.13,0,1000,14
R08,banana,-11,optimal,-2,-2,NEAREST,19.97,36.83,0,1000,45128
R08,banana,-11,optimal,-2,-1,NEAREST,19.97,36.83,0,1000,49079
R08,banana,-11,optimal,-2,0,ACHIEVED,15.39,40.17,0,1000,634
R08,banana,-11,optimal,-2,1,ACHIEVED,15.38,37.51,0,1000,1291
R08,banana,-11,optimal,-2,2,ACHIEVED,15.40,35.01,0,1000,720
R08,banana,-11,optimal,-1,-2,NEAREST,19.97,36.83,0,1000,87038
R08,banana,-11,optimal,-1,-1,NEAREST,19.97,36.83,0,1000,44544
R08,banana,-11,optimal,-1,0,ACHIEVED,17.79,40.07,0,1000,765
R08,banana,-11,optimal,-1,1,ACHIEVED,17.80,37.50,0,1000,342
R08,banana,-11,optimal,-1,2,ACHIEVED,17.80,35.12,0,1000,354
R08,banana,-11,optimal,0,-2,NEAREST,19.97,36.83,0,1000,68743
R08,banana,-11,optimal,0,-1,NEAREST,19.97,36.83,0,1000,55815
R08,banana,-11,optimal,0,0,ACHIEVED,20.19,40.00,0,1000,58
R08,banana,-11,optimal,0,1,ACHIEVED,20.17,37.57,0,1000,69
R08,banana,-11,optimal,0,2,ACHIEVED,19.97,36.83,0,1000,8
R08,banana,-11,optimal,1,-2,NEAREST,19.97,36.83,0,1000,74512
R08,banana,-11,optimal,1,-1,NEAREST,19.97,36.83,0,1000,57825
R08,banana,-11,optimal,1,0,ACHIEVED,22.56,40.09,0,1000,62
