ingredient_id,name,category,subcategory,family,subfamily,form,role,profiles,capability,calibration_level,policy,blocked_reason,provenance,confidence
PI-ING-001125,TOFFEE MOU · Comprital Variegato · PC528P,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001127,YOPIU · Comprital Base Mix · P400,base_mix,yogurt_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001128,ZABAIONE ZIBIBBO · Comprital Specialty · PC638PB,specialty,sweetened_egg_yolk,,,,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001129,AMARENA · Fabbri Paste · 0005836,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001130,AMARENA · Fabbri Paste · 0004280,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001131,VARIEGATISSIMO MEGAMARENA · Aromitalia Variegato · 1986C,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001132,AMARENA · Aromitalia Variegato · 1011C,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001133,AMARENA EXPORT · Fabbri Variegato · 0004426,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001134,AMARENA · Giuso Variegato · 01344130A,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001135,AMARENA TOP · Pernigotti Variegato · 12095034A,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001136,VARIEGATURA AMARENA · Torronalba Variegato · 0248,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
