recipe_id,flavour_class,temperature,mode,outcome,pod,npac,water_pct,solids_pct,fat_pct,violations,zero_gram,total_g,runtime_ms
R22,plant protein (rice),-13,optimal,PREVIEW,20.18,58.88,59.40,40.60,9.79,0,0,1000,0
R22,plant protein (rice),-13,eco,PREVIEW,20.18,58.88,59.40,40.60,9.79,0,0,1000,0
R23,mixed fat,-11,optimal,PREVIEW,21.19,41.12,65.31,34.69,8.99,0,0,1000,1
R23,mixed fat,-11,eco,PREVIEW,21.19,41.12,65.31,34.69,8.99,0,0,1000,0
R23,mixed fat,-12,optimal,PREVIEW,22.37,52.63,62.19,37.81,9.92,0,0,1000,0
R23,mixed fat,-12,eco,PREVIEW,22.37,52.63,62.19,37.81,9.92,0,0,1000,1
R23,mixed fat,-13,optimal,PREVIEW,20.95,58.16,62.58,37.42,9.92,0,0,1000,0
R23,mixed fat,-13,eco,PREVIEW,20.95,58.16,62.58,37.42,9.92,0,0,1000,0
R24,liquid oil,-11,optimal,PREVIEW,20.51,40.86,63.55,36.45,11.58,0,0,1000,1
R24,liquid oil,-11,eco,PREVIEW,20.51,40.86,63.55,36.45,11.58,0,0,1000,0
R24,liquid oil,-12,optimal,PREVIEW,23.30,52.33,65.13,34.87,6.03,0,0,1000,0
R24,liquid oil,-12,eco,PREVIEW,23.30,52.33,65.13,34.87,6.03,0,0,1000,1
R24,liquid oil,-13,optimal,PREVIEW,21.81,57.83,65.53,34.47,6.03,0,0,1000,1
R24,liquid oil,-13,eco,PREVIEW,21.81,57.83,65.53,34.47,6.03,0,0,1000,1
