n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
134,1199932928,R19,-11,eco,2,-1,PREVIEW,ok
135,1928670720,R14,-11,optimal,1,1,PREVIEW,ok
136,2125362432,R11,-13,eco,-2,0,PREVIEW,ok
137,1368992568,R05,-13,eco,-1,0,PREVIEW,ok
138,1488165184,R03,-13,eco,-2,0,PREVIEW,ok
139,2118340672,R13,-11,eco,0,0,PREVIEW,ok
140,982452736,R05,-11,eco,1,1,PREVIEW,ok
141,1034926848,R12,-11,optimal,0,0,PREVIEW,ok
142,1277677120,R22,-11,optimal,1,2,PREVIEW,ok
143,1706514688,R16,-13,eco,0,0,PREVIEW,ok
144,366020608,R01,-11,optimal,-1,1,PREVIEW,ok
145,627811840,R08,-13,optimal,-2,1,PREVIEW,ok
146,521012224,R06,-13,optimal,-2,-2,PREVIEW,ok
147,422852864,R05,-12,eco,-2,0,PREVIEW,ok
148,1294703616,R11,-13,eco,-1,1,PREVIEW,ok
149,1985321984,R15,-12,eco,-1,0,PREVIEW,ok
150,1646763008,R06,-13,eco,0,1,PREVIEW,ok
151,931526464,R01,-13,eco,-2,0,PREVIEW,ok
152,1066910976,R22,-11,eco,-2,1,PREVIEW,ok
153,1086155008,R09,-12,eco,1,-1,PREVIEW,ok
154,1143337728,R24,-11,optimal,1,-1,PREVIEW,ok
155,934191616,R02,-12,eco,-2,-1,PREVIEW,ok
156,638013696,R11,-11,eco,1,2,PREVIEW,ok
157,680491072,R04,-13,eco,-2,2,PREVIEW,ok
158,31173440,R12,-12,eco,1,1,PREVIEW,ok
159,1007427840,R21,-13,eco,0,-1,PREVIEW,ok
160,1851270208,R14,-13,optimal,0,1,PREVIEW,ok
161,616905728,R07,-13,eco,-2,-2,PREVIEW,ok
162,456506432,R08,-13,eco,2,2,PREVIEW,ok
163,822745344,R15,-12,eco,-2,2,PREVIEW,ok
164,608701440,R15,-12,eco,-2,0,PREVIEW,ok
165,150757176,R09,-13,optimal,-1,1,PREVIEW,ok
166,547469568,R05,-13,eco,0,-2,PREVIEW,ok
167,1436469248,R13,-13,eco,2,-2,PREVIEW,ok
168,832487936,R02,-13,eco,-1,0,PREVIEW,ok
169,193137920,R03,-12,optimal,-2,0,PREVIEW,ok
170,1674440192,R19,-13,optimal,0,-2,PREVIEW,ok
171,2122449536,R16,-11,optimal,-2,-2,PREVIEW,ok
172,982851584,R20,-13,eco,2,0,PREVIEW,ok
173,590426112,R07,-12,optimal,1,2,PREVIEW,ok
174,990426624,R05,-11,optimal,0,-2,PREVIEW,ok
175,177208384,R03,-12,optimal,2,1,PREVIEW,ok
176,706965504,R11,-12,optimal,2,1,PREVIEW,ok
177,82362368,R18,-11,optimal,0,2,PREVIEW,ok
178,1015558400,R01,-11,eco,-2,0,PREVIEW,ok
179,1674882304,R09,-13,eco,2,-2,PREVIEW,ok
180,525101368,R06,-11,eco,-2,0,PREVIEW,ok
181,847807800,R10,-12,optimal,1,-1,PREVIEW,ok
182,387069952,R18,-11,optimal,-2,1,PREVIEW,ok
183,1044485632,R09,-13,eco,-2,-1,PREVIEW,ok
184,1001439616,R01,-11,eco,0,-2,PREVIEW,ok
185,1426360576,R21,-13,optimal,0,0,PREVIEW,ok
186,556697401,R03,-13,eco,-2,-1,PREVIEW,ok
187,1571399480,R18,-12,optimal,-1,1,PREVIEW,ok
188,1916620288,R06,-12,optimal,-1,0,PREVIEW,ok
189,1906381824,R08,-12,optimal,-2,2,PREVIEW,ok
190,290555648,R21,-13,optimal,-1,1,PREVIEW,ok
191,1275601408,R07,-12,eco,2,1,PREVIEW,ok
192,1114086912,R08,-12,optimal,-1,1,PREVIEW,ok
193,98169088,R03,-12,eco,2,0,PREVIEW,ok
194,816041728,R15,-11,optimal,1,-1,PREVIEW,ok
195,642423360,R11,-11,eco,-2,1,PREVIEW,ok
196,1841932288,R05,-13,optimal,-2,0,PREVIEW,ok
197,769515520,R07,-13,eco,-2,2,PREVIEW,ok
198,1894772480,R19,-12,eco,-1,-1,PREVIEW,ok
199,465260288,R03,-11,eco,2,-2,PREVIEW,ok
200,871434752,R24,-12,optimal,1,1,PREVIEW,ok
201,459852288,R15,-12,eco,-2,2,PREVIEW,ok
202,1748332800,R16,-12,eco,0,1,PREVIEW,ok
203,1597662272,R03,-11,optimal,2,-1,PREVIEW,ok
204,1505117952,R06,-13,optimal,0,1,PREVIEW,ok
205,1940687360,R08,-11,optimal,0,2,PREVIEW,ok
206,613249792,R03,-12,eco,2,-2,PREVIEW,ok
207,302467072,R06,-11,eco,-1,-1,PREVIEW,ok
208,2094276864,R04,-13,optimal,2,2,PREVIEW,ok
209,959593472,R15,-11,optimal,2,1,PREVIEW,ok
210,1981548032,R04,-12,optimal,-2,2,PREVIEW,ok
211,660975104,R23,-12,optimal,-1,0,PREVIEW,ok
212,454174848,R16,-11,optimal,1,-2,PREVIEW,ok
213,430446080,R19,-12,optimal,0,-2,PREVIEW,ok
214,313100416,R08,-12,optimal,1,-2,PREVIEW,ok
215,651671296,R09,-11,optimal,-2,-2,PREVIEW,ok
216,443753280,R15,-12,eco,-1,2,PREVIEW,ok
217,1678447104,R18,-11,eco,-1,-2,PREVIEW,ok
218,1240787456,R19,-12,eco,1,0,PREVIEW,ok
219,530357120,R05,-13,optimal,1,-2,PREVIEW,ok
220,1561907968,R22,-12,eco,2,-2,PREVIEW,ok
221,298626880,R20,-12,eco,-1,1,PREVIEW,ok
222,919548480,R12,-13,eco,1,2,PREVIEW,ok
223,1286484736,R04,-11,eco,2,-1,PREVIEW,ok
224,232230656,R09,-12,optimal,2,1,PREVIEW,ok
225,1463699968,R09,-13,eco,2,0,PREVIEW,ok
226,1025311232,R18,-12,optimal,-1,1,PREVIEW,ok
227,136223232,R20,-13,optimal,0,2,PREVIEW,ok
228,1095073792,R19,-12,eco,-2,0,PREVIEW,ok
229,1845315072,R23,-12,eco,-2,-2,PREVIEW,ok
230,1028948224,R07,-13,optimal,1,1,PREVIEW,ok
231,1227466752,R07,-12,optimal,0,2,PREVIEW,ok
232,1080426496,R14,-11,optimal,-1,1,PREVIEW,ok
233,1336812288,R24,-13,optimal,-1,2,PREVIEW,ok
234,777619968,R03,-12,eco,2,2,PREVIEW,ok
235,2100155712,R13,-13,optimal,2,2,PREVIEW,ok
236,1532891712,R22,-11,eco,-1,0,PREVIEW,ok
237,1419460608,R21,-13,optimal,0,1,PREVIEW,ok
238,860056320,R16,-12,eco,1,-2,PREVIEW,ok
239,1056744960,R07,-13,optimal,-1,2,PREVIEW,ok
240,552363008,R10,-11,eco,-1,-1,PREVIEW,ok
241,956596992,R19,-12,eco,-2,-1,PREVIEW,ok
242,930553600,R23,-12,eco,1,0,PREVIEW,ok
243,449129984,R19,-12,optimal,0,-2,PREVIEW,ok
244,409340672,R03,-12,eco,-2,-1,PREVIEW,ok
245,1782232576,R24,-13,eco,0,0,PREVIEW,ok
246,1326390784,R19,-12,eco,-1,0,PREVIEW,ok
247,753739328,R23,-12,eco,-1,2,PREVIEW,ok
248,946026496,R11,-11,optimal,-2,0,PREVIEW,ok
249,251682816,R03,-13,optimal,0,2,PREVIEW,ok
250,1573740288,R13,-12,optimal,-1,2,PREVIEW,ok
251,1006610432,R24,-12,eco,0,1,PREVIEW,ok
252,1549654016,R19,-13,eco,2,1,PREVIEW,ok
253,2009385024,R24,-12,eco,2,0,PREVIEW,ok
254,1256845824,R04,-13,eco,-1,2,PREVIEW,ok
255,1706548480,R17,-12,optimal,2,0,PREVIEW,ok
256,1441690624,R13,-13,optimal,1,1,PREVIEW,ok
257,103535672,R23,-12,optimal,2,2,PREVIEW,ok
258,1521463616,R17,-12,optimal,-2,0,PREVIEW,ok
259,1006094336,R24,-12,optimal,2,0,PREVIEW,ok
260,1855354944,R11,-13,optimal,1,0,PREVIEW,ok
261,140497664,R10,-12,eco,2,-2,PREVIEW,ok
262,2113117696,R22,-12,optimal,0,2,PREVIEW,ok
263,328593664,R03,-13,optimal,1,1,PREVIEW,ok
264,1070726144,R21,-13,optimal,-2,-1,PREVIEW,ok
265,1763998720,R03,-11,eco,0,2,PREVIEW,ok
266,315751424,R14,-12,eco,0,0,PREVIEW,ok
267,1770809856,R20,-11,eco,-2,1,PREVIEW,ok
268,1865693440,R10,-11,optimal,1,2,PREVIEW,ok
269,639189056,R17,-12,eco,1,2,PREVIEW,ok
270,157586176,R18,-12,eco,-1,0,PREVIEW,ok
271,695182592,R17,-11,optimal,-2,-1,PREVIEW,ok
272,643652608,R14,-12,optimal,0,2,PREVIEW,ok
273,361651200,R21,-12,eco,0,0,PREVIEW,ok
274,705682944,R11,-12,optimal,2,1,PREVIEW,ok
275,208345984,R22,-13,eco,-1,-2,PREVIEW,ok
276,655703296,R10,-11,optimal,-2,-1,PREVIEW,ok
277,776558592,R14,-11,optimal,0,1,PREVIEW,ok
278,1385206528,R06,-13,optimal,2,2,PREVIEW,ok
279,1385432576,R20,-11,eco,1,2,PREVIEW,ok
280,1330727168,R20,-13,optimal,1,-2,PREVIEW,ok
281,1742782464,R24,-12,eco,2,-1,PREVIEW,ok
282,713773056,R10,-13,eco,-1,-1,PREVIEW,ok
283,271391232,R21,-11,optimal,-2,-1,PREVIEW,ok
284,1710948664,R12,-13,optimal,0,0,PREVIEW,ok
285,78928640,R03,-13,optimal,2,-1,PREVIEW,ok
286,1920653568,R17,-11,optimal,-1,1,PREVIEW,ok
287,1056208128,R01,-13,optimal,0,0,PREVIEW,ok
288,241240960,R14,-11,eco,1,-2,PREVIEW,ok
289,1979904512,R05,-12,eco,1,-2,PREVIEW,ok
290,1392502016,R16,-13,eco,0,-1,PREVIEW,ok
291,1064251392,R21,-11,optimal,-2,1,PREVIEW,ok
292,355032512,R01,-13,eco,-2,-2,PREVIEW,ok
293,1270207872,R18,-11,eco,2,-2,PREVIEW,ok
294,2005520128,R13,-11,eco,-1,-1,PREVIEW,ok
295,1489111552,R24,-11,optimal,2,-2,PREVIEW,ok
296,1005568576,R08,-11,eco,-1,2,PREVIEW,ok
297,1157694208,R03,-13,eco,1,-2,PREVIEW,ok
298,2105198912,R01,-13,optimal,2,2,PREVIEW,ok
299,1909079808,R12,-13,optimal,-2,0,PREVIEW,ok
300,1971454080,R15,-13,eco,-1,-2,PREVIEW,ok
301,128701184,R02,-11,optimal,1,1,PREVIEW,ok
302,356004152,R16,-11,optimal,2,-1,PREVIEW,ok
303,767532800,R22,-11,eco,0,-2,PREVIEW,ok
304,742763008,R17,-13,eco,-2,0,PREVIEW,ok
305,131907584,R03,-12,optimal,2,2,PREVIEW,ok
306,2014941952,R06,-11,optimal,-2,1,PREVIEW,ok
307,386953024,R06,-13,optimal,1,0,PREVIEW,ok
308,2133492992,R06,-13,optimal,0,2,PREVIEW,ok
309,1833681664,R23,-12,optimal,2,0,PREVIEW,ok
310,379281152,R22,-13,eco,-1,2,PREVIEW,ok
311,1184127232,R22,-13,eco,-2,-1,PREVIEW,ok
312,1381668864,R05,-12,eco,1,2,PREVIEW,ok
313,2012514304,R12,-11,optimal,0,-1,PREVIEW,ok
314,545942016,R13,-11,eco,-1,-2,PREVIEW,ok
315,910510592,R01,-13,eco,2,1,PREVIEW,ok
316,1409848576,R22,-13,optimal,2,1,PREVIEW,ok
317,1671761664,R07,-11,optimal,-2,1,PREVIEW,ok
318,808980672,R16,-13,optimal,-2,-2,PREVIEW,ok
319,900024832,R16,-12,eco,0,-2,PREVIEW,ok
320,1110821376,R21,-13,optimal,-2,0,PREVIEW,ok
321,712270464,R16,-11,optimal,-2,-2,PREVIEW,ok
322,1985836032,R11,-13,eco,0,2,PREVIEW,ok
323,47297024,R05,-13,optimal,2,1,PREVIEW,ok
324,1382551552,R13,-11,eco,-2,-2,PREVIEW,ok
325,773840896,R09,-12,optimal,0,2,PREVIEW,ok
326,1052047360,R05,-11,optimal,2,2,PREVIEW,ok
327,1587127808,R08,-12,eco,-2,0,PREVIEW,ok
328,2119002496,R24,-13,eco,-1,-1,PREVIEW,ok
